"ID","Sexo","Edad","Fuma","Estatura","Colegio","Estrato","Financiacion","Acumulado","Gastos","Ingreso","Clases","Pandemia","Clases_virtuales","Estadistica","inseguridad","vida_cotidiana","Puntaje"
"SB11201910010435","Femenino","21.36","No","Alta","Privado",1,"Beca","3.92","48.9","0.61","Virtual","De acuerdo","Totalmente de acuerdo","Indeciso","De acuerdo","De acuerdo",81
"SB11201910004475","Masculino","21.07","Si","Baja","Privado",2,"Beca","3.96","72.1","2.07","Presencial","De acuerdo","Ni de acuerdo, ni en desacuerdo","En desacuerdo","De acuerdo","Totalmente en desacuerdo",78
"SB11201910011427","Masculino","20.92","Si","Alta","Privado",2,"Beca","3.85","85.2","0.84","Virtual","De acuerdo","De acuerdo","En desacuerdo","Totalmente de acuerdo","De acuerdo",77
"SB11201910041975","Masculino","18.41","Si","Alta","Privado",2,"Beca","3.69","56.6","1.55","Virtual","De acuerdo","De acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","De acuerdo",70
"SB11201910013623","Femenino","16.64","Si","Alta","Privado",1,"Beca","4.01","64.6","2.32","Virtual","Ni de acuerdo, ni en desacuerdo","Totalmente de acuerdo","Indeciso","De acuerdo","Indeciso",68
"SB11201910038122","Femenino","16.02","No","Baja","Privado",2,"Beca","3.80","63.0","2.10","Presencial","De acuerdo","De acuerdo","De acuerdo","Indeciso","De acuerdo",65
"SB11201910037905","Femenino","19.32","Si","Baja","Privado",1,"Beca","4.35","40.8","0.69","Presencial","De acuerdo","En desacuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo",54
"SB11201910038140","Femenino","18.62","Si","Media","Privado",1,"Beca","3.76","65.4","2.18","Virtual","De acuerdo","Totalmente de acuerdo","De acuerdo","Indeciso","Indeciso",50
"SB11201910038005","Femenino","17.01","Si","Media","Privado",2,"Beca","3.57","37.3","0.71","Virtual","En desacuerdo","Totalmente en desacuerdo","Indeciso","De acuerdo","En desacuerdo",36
"SB11201910037919","Masculino","19.71","Si","Media","Privado",1,"Beca","3.15","63.0","2.10","Presencial","De acuerdo","Totalmente en desacuerdo","Indeciso","De acuerdo","Indeciso",35
"SB11201910038100","Femenino","20.75","No","Media","Privado",1,"Beca","3.80","76.6","1.22","Virtual","En desacuerdo","De acuerdo","Totalmente en desacuerdo","Indeciso","En desacuerdo",35
"SB11201910038016","Femenino","16.69","Si","Media","Privado",1,"Beca","3.09","50.5","1.75","Presencial","De acuerdo","Totalmente de acuerdo","Indeciso","De acuerdo","Indeciso",34
"SB11201910037882","Masculino","18.16","Si","Media","Privado",2,"Beca","3.65","47.6","1.58","Presencial","De acuerdo","Totalmente en desacuerdo","De acuerdo","Indeciso","Totalmente de acuerdo",30
"SB11201910037986","Femenino","18.72","Si","Media","Privado",1,"Beca","3.13","32.7","1.09","Presencial","De acuerdo","Ni de acuerdo, ni en desacuerdo","Indeciso","De acuerdo","De acuerdo",28
"SB11201910038042","Masculino","19.79","No","Media","Privado",1,"Beca","3.49","53.7","1.79","Presencial","De acuerdo","Totalmente en desacuerdo","De acuerdo","En desacuerdo","En desacuerdo",28
"SB11201910038080","Masculino","17.49","No","Media","Privado",1,"Beca","2.91","42.0","1.40","Virtual","De acuerdo","En desacuerdo","Indeciso","Indeciso","De acuerdo",28
"SB11201910038156","Femenino","18.18","No","Media","Privado",2,"Beca","3.09","43.8","1.17","Presencial","De acuerdo","Totalmente en desacuerdo","Indeciso","De acuerdo","De acuerdo",28
"SB11201910038060","Masculino","19.21","No","Alta","Privado",1,"Beca","2.97","33.9","1.13","Presencial","De acuerdo","De acuerdo","En desacuerdo","Totalmente de acuerdo","Indeciso",26
"SB11201910038286","Masculino","24.91","No","Media","Privado",2,"Beca","2.98","60.8","0.36","Presencial","De acuerdo","Ni de acuerdo, ni en desacuerdo","Totalmente de acuerdo","En desacuerdo","De acuerdo",26
